string	english (円,원,$,£,€,zł)	comment. Include all currency characters here to get them included in used_chars.txt, because they're retrieved automatically from the 3DS eShop.

# ----- Generic ----
next	Далi
done	Готово
back	Назад
yes	Так
no	Нi
ok	OK
skip	Пропустити
skip_confirm	Пiдтвердiть пропуск
yay	Ура!
continue	Продовжити
options_yes_thanks	Хочу все знати!
options_no_thanks	Я i так все знаю.
options_no_advanced	Нi {format bold}(для досвiдчених гравцiв) 
options_explain	Пояснити?

press_up_to_talk	Поговорити
press_up_to_sell	Продати
press_up_to_use	Використати
press_up_to_use_door	Увiйти в дверi
press_up_to_use_ladder	Пiднятись по драбинi
press_up_to_use_workbench	Працювати в майстернi
press_up_to_light	Освiтити
press_up_to_read	Читати
press_up_to_el_machino	Увiйти в Ель Макiно
press_up_to_archaea	Увiйти в шахту Архея

upgrade_cog	{image cogs_down} Шестерiнка
gain_xp	{format exp_text}%1% досвiду{format reset}
gain_gold	{format gold_text}$%1%{format reset}{image money_small_down}
pickup_resource	{image %1%} %2% $%3%{image money_small_down}
need_light	Потрiбне свiтло...
need_water	Потрiбна вода...
view_inventory	Подивитися ресурси

unassigned	НЕ ПРИЗНАЧЕНО

notification_saving	Збереження...
notification_saving_failed	{color 1,0,0,1}Не вдалося зберегти гру!
notification_saving_settings	Збереження налаштувань...
notification_saving_settings_failed	{color 1,0,0,1}Не вдалося зберегти налаштування!

difficulty_easy	Легко 
difficulty_normal	Середньо 

# ----- Ask Choice ----
carson_buy	Одну {image cogs_small} шестерiнку, будь ласка!
carson_dontbuy	Не зараз.

blueprint_buy	Беру!
blueprint_dontbuy	Можливо пiзнiше...

workbench_choice_upgrades	Покращення {image money_small}
workbench_choice_cogs	Шестерiнки {image cogs_small}
workbench_choice_tutorial	Розкажи про шестерiнки...
workbench_choice_cancel	Скасувати

options_markers_yes	Мабуть, менi це потрiбно.
options_markers_no	Менi це не знадобиться {format bold}(для досвiдчених гравцiв)
options_markers_explain	Як воно працюэ?


carson_ask_yes	Давай я розповiм...
carson_ask_yes2	Давай...
carson_ask_no	Якось потiм.

rocketeer_ask_yes	Чому так?
rocketeer_ask_no	Краще спускайся назад!

distillery_ask_yes	Здаэться, нам доведеться, Фен.
distillery_ask_no	Поки нi.

teleport_ask_yes	Менi доведеться, Фен.
teleport_ask_no	Зачекай секунду...

# ------ Levels -------
level_west_desert	Захiдна пустеля
level_east_desert	Вiтрянi рiвнини
level_el_machino	Ель Макiно
level_archaea	Архея
level_yarrow	Ярроу
level_fire_temple	Храм Руйнiвника
level_temple_of_guidance	Храм Шляху
level_hub	Оазис
level_hubtube	Труба каналiзацiï
level_distillery	Реактор
level_vectron	Вектрон
level_hell	Випробування

# ------ Caves -------
level_archaea_cave_pressurebomb	Вибухова станцiя
level_archaea_cave_jackhammer	Каменеломна станцiя
level_hub_cave_grapplinghook	Склад Розi
level_temple_cave_hookjump	Спелеостанцiя
level_fire_temple_cave_flamer	Станцiя внутрiшнього згоряння

level_fire_temple_cave_treasure_chamber	Скарбниця Рональда

level_archaea_cave_unclimbable	Стiни з латками

level_archaea_cave_runjump	Розгiн - стрибок
level_archaea_cave_fallblock_puzzle	Кiмната з годинниковим механiзмом
level_archaea_cave_ladders	Сходи Генезису
level_archaea_cave_runfallblock	Крiзь лад камiнчикiв
level_archaea_cave_snakestone	Грот трiщин
level_archaea_cave_snakestone_blocks	Пiдземнi розвалини
level_archaea_cave_trilobite_puzzle	Трилобiтове урвище
level_archaea_cave_cactus	Колюча панорама
level_archaea_cave_sinkstone_stickybomb	Цокаюча безодня
level_archaea_cave_vectron_entrance	Таэмнича печера

level_fire_temple_cave_crusher	Смажене безумство
level_fire_temple_cave_lavachase	Колиска демона
level_fire_temple_cave_batcave	Мишача печера
level_fire_temple_cave_armor	Сонячний арсенал

level_fire_temple_cave_spikeconveyor	Шипи та конвеэри
level_fire_temple_cave_lava_shooters	Стрiльба лавою
level_fire_temple_cave_hell_carts	Шахтне безумство
level_fire_temple_cave_generator	Машина Судного дня
level_fire_temple_cave_generator2	Руйнiвна машина
level_fire_temple_cave_golem	Похмура лощина
level_fire_temple_floor_is_lava	Пiдлога - це лава
level_fire_temple_cave_boxes	Лиховiсний вантаж


level_yarrow_cave_water	Пливи, греби, гойдайся
level_yarrow_cave_gauntlet	Лiгво з протiканням
level_yarrow_cave_steampack_slayer	Станцiя Аеронавтiв
level_yarrow_cave_generator	Машина лих
level_yarrow_cave_cliffhanger	Эралаш на пiдвiсi
level_yarrow_cave_mushimushiroom	Грибне мiсце
level_yarrow_cave_bats	Вулик у засiдцi
level_yarrow_cave_run	Лаймова петля
level_yarrow_cave_snakestone	Хiд у грот трiщин

level_west_desert_cave_cart_puzzle	Ох вже цi вiзки

level_east_desert_cave_runfallblock	Камнепад
level_east_desert_cave_hell_end	Кiнець випробувань
level_east_desert_cave_hell_crushers	Випробування руйнiвникiв
level_east_desert_cave_hell_acoknights	Випробування лицарiв-сектантiв
level_east_desert_cave_hell_vectron	Випробування втечi
level_east_desert_cave_hell_rockets	Випробування ракет
level_east_desert_cave_hell_bedrock	Випробування кнопок
level_east_desert_cave_hell_skillness	Випробування вправностi
east_desert_cave_hell_lava_flight	Випробування польоту

level_temple_cave_arrowtraps	Склеп стрiл
level_temple_cave_pushthecarts	Склеп колiс
level_temple_cave_fallblock_mega	Склеп руйнування
level_temple_cave_maze	Склеп таэмниць
level_temple_cave_generator	Машина спустошення

level_hub_cave_hubtube	Грязевий вигин

level_vectron_cave_generator	Генератор Вектрона

# ------ Talk UI ------
talk_continue_prompt	Продовжити
talk_confirm_prompt	Пiдтвердити
talk_cancel_prompt	Скасувати

# ------ Tutorial indicators ------
indicator_move	Йти на схiд
indicator_move_02	Нi, в iншу сторону
indicator_wall_jump	Стрибок по стiнi
indicator_jump	Стрибнути
indicator_attack	Копати
indicator_attack_down	Пiдкопувати
indicator_run	(Утримувати) Бiгти
indicator_talk_to_buddy	Поговорити з Фен
indicator_run_jump	стрибок пiд час пробiжки
indicator_pressurebomb	Кинути пневмобомбу
indicator_direction_pressurebomb	Кинути пневмобомбу
indicator_jackhammer	(Утримувати) Використати вiдбiйний молоток
indicator_hook	(Утримувати) Використати кiшку
indicator_hook_up	(Утримувати) Використати кiшку
indicator_steampack	(Утримувати) Використати реактивний двигун
indicator_pressurebomb_launcher	(Утримувати) Використати бомбомет

# ------ Conversation special ------
ui_conversation_name_separator	:
ui_conversation_ellipsis_start	...
ui_conversation_ellipsis_end	...

# ----- NPCs ----
character_player	Доротi
character_player_buddy	Фен
character_fen_sprite	Спрайт
character_ore_vendor	Клешорукий Джонс
character_mechanic	Ведроïд
character_mayor_01	Мер Мiк Йонкер
character_rocketeer	Професор Шерман
character_inhabitant_01	Матуся Йонкер
character_inhabitant_02	Пеннi Чайнiкс
character_old_salesbot_01	Торговець Карсон
character_blueprint_vendor_01	Девi Бiттенборо
character_blueprint_vendor_02	Клiфорд Хайзенберг
character_blueprint_vendor_03	Тай Нузак
character_yonker_01	Зебулон Йонкер
character_yonker_02	Люк Йонкер
character_yonker_03	Джош Йонкер
character_climber_01	Ледi Боттерлi
character_worshipper	Фанатик
character_guard_archaea	Корал Армстронг
character_fen_prison	Дороговказне свiтло
character_rosie	Розi
character_hub_guard	Шон Квапига
character_floaty	Клео Джонсон
character_swimmer	Вiллi-купальщик
character_crab	Руката Габбi
character_crab_disguised	Клешорукий Джонс?
character_gran	Вибухова Харiэт
character_helpfulhelen	Зла Хелен
character_priest_glorious	Великий пророк
character_rusty	Растi
character_rosie_boss	Розi
character_acolyte_cutscene	Фанатик

# ----- Resources ----
resource_description_value	Цiна за штуку: $%1%{image money_small}.
resource_trashium	Смiттэрiй
resource_trashium_desc	Простiше кажучи, купа металобрухту, спаяна воэдино силами природи.
resource_copper	Мiдь
resource_copper_desc	Висока мiцнiсть та низький опiр мiдi роблять ïï ефективним i надiйним провiдником.
resource_cinnabar	Кiновар
resource_cinnabar_desc	Яскравий i отруйний сульфiд ртутi. Ранiше використовувався як барвник. З ним ви будете виглядати на вермiльон доларiв!
resource_ironium	Iронiум
resource_ironium_desc	У чистому виглядi досить м'який, але якщо пiдлити масла у вогонь, стаэ дуже жорстким.
resource_cornflorium	Волошка
resource_cornflorium_desc	У природi зустрiчаэться рiдко. Популярний у живописцiв нижнiх Нiдерландiв через красивий синiй вiдтiнок.
resource_obsidian	Iнгвiум
resource_obsidian_desc	Справжнiй вiртуоз iз магматичного сiмейства Мальмстiн.
resource_silver	Срiбло
resource_silver_desc	Якщо до вас у двiр зайде зграя перевертнiв, надiйнiшого захисту немаэ. А вони зайдуть, це тiльки питання часу.
resource_zoinkonium	Зойнконiй
resource_zoinkonium_desc	Цей яскравий мiнерал видiляэ легкий, але стiйкий запах меду.
resource_gold	Золото
resource_gold_desc	Королiвський метал. Викликаэ у шахтарiв золоту лихоманку. Вибiр iнвесторiв з 3000 р. до н.е.
resource_lazurite	Лазурит
resource_lazurite_desc	Крихкий мiнерал, який широко використовуэться як барвник.
resource_saturnium	Сатурнiй
resource_saturnium_desc	Фермери вiрять, що вiн добре впливаэ на врожай, i обкладають ним поля пiд час посiву.
resource_plutonium	Плутонiй
resource_plutonium_desc	Широко використовувався в кiнцi Великих Бомжацьких Воэн. Схилив терези в нiчию користь. Всупереч поширеному мiфу, до диснеïвськоï собаки вiдношення не маэ.
resource_meteorum	Метеорит
resource_meteorum_desc	Вперше виявлений бiля маэтку на розi Гiлберт-авеню i Вiнник-стрiт.
resource_unobtainium	Недостанiй
resource_unobtainium_desc	Його нiхто не змiг отримати, i даних про нього немаэ. Вибачте.
resource_darkmatter	Темна матерiя
resource_darkmatter_desc	Мама вас про таке попереджала. Часто знаходиться бiля дешевих барiв i... Ой, нi. Помилочка вийшла.

resource_sodium	Сода
resource_sodium_desc	Бiлий порошок. Тривалий контакт призводить до зневоднення.
resource_aluminium	Алюмiнiй
resource_aluminium_desc	Найобширнiшi запаси на планетi. Найпоширенiший метал. З нього виходять чудовi контейнери для традицiйних напоïв людськоï раси.

resource_beryl	Берил
resource_beryl_desc	Кажуть, вiн допомагаэ втiлити мрiï i бажання та знищуэ негативну енергiю.
resource_azurite	Голубець
resource_azurite_desc	 Тiльки от ïсти його не треба.
resource_tremolite	Тремолiт
resource_tremolite_desc	 До музики вiдношення не маэ. До хвороб теж.
resource_topaz	Топаз
resource_topaz_desc	Наповнюэ простiр теплою аурою розумiння i турботи. Фiолетовий рiзновид дуже рiдкiсний.
resource_ametrine	Аметрин
resource_ametrine_desc	Рiдкiсний камiнь. Подейкують, володiэ дивними властивостями. Найбiльший екземпляр, як стверджують, зберiгаэться в склепi iспанськоï королеви.
resource_diamond	Дiамант
resource_diamond_desc	Класика. Холодний i твердий, як обiйми Маргарет Тетчер. Ваш найкращий друг, навiть якщо ви не жiнка.
resource_bismuth	Вiсмут
resource_bismuth_desc	Вiдкритий алхiмiками в XV столiттi. Його часто плутають зi свинцем i з першим рейхсканцлером Нiмеччини.
resource_imagenite	Уявит
resource_imagenite_desc	Шахтарi так i не домовилися мiж собою, iснуэ вiн чи нi. Наука також поки не встановила iснування житнамарсiта.

resource_amethyst	Аметист
resource_amethyst_desc	Його блиск втiшить вас у горi, викличе емоцiйний пiдйом - i вiдправить на пошуки нового великого та чистого кохання.

resource_blooddrop	Кровавик
resource_blooddrop_desc	Концентрат гнiву примарних iстот.
resource_bloodstone	Кровавит
resource_bloodstone_desc	Вiдновлюэ яснiсть розуму.
resource_bloodrock	Кровавище
resource_bloodrock_desc	Згусток страху i недобрих намiрiв. Загострюэ почуття, але затуманюэ розум.

resource_vectron	Шифрування 5-1 16.17.4.8
resource_vectron_desc	x U G N W t M g n A N O M A L Y . j D z 6 k g D E S T I N A T I O N : R i B 6 s p j 1 0 U N V h q i a k m C B N j h E R P Y 5 q b b W 6 u U O r n l 7 B 3 1 l b 8 K 2 j 1 Y U 6 v 8 F U 2 l z J J 9 U N A U T H O R I Z E D c I U M v J P N n N 6 9 f E N l N M X L 5 U u A g b C 9 6 s J s i 3 u r h q c 4 S h E T k f 4 q N N n F 2 4 x n i n n T P N N J a r 1 l I D 0 u e u 0 j i L p B O c o P C a U X v B R 6 D M n W h 8 2 F F E w X E t C q 8 2 s 9 c o L w L V V H v u p n Z s V t y e D c H m D N p m S q p K w R q X 4 E b r R I S L L R 6 k f 6 6 i c a z a F H t 8 i U P D A T E D . 6 Y G E f T R L g l n q 3 v A 8 3 H G o 4 w S y 7 x n A 7 p l W L W 0 M 8 4 0 N g l y Z 9 v 5 p O 1 C c 1 s Q F m v P S a r 6 6 R 7 D H u j u G 7 z X y 4 Q
resource_vectron_02	Шифрування 5-2 10.15.9
resource_vectron_desc_02	y S 0 q l X l a s I 2 L 8 M V P Z 1 s F c 1 l M v U V P l z c P O S I T I V E a b c i g S x 5 Y 6 1 N T G E r U f H C l 9 a Y t w g w o E L x C 3 y R 7 G 6 z s g Y r k e y G V 4 A C X b E J E C T I N G r l D i Y J m K X Z X r a 2 c c C Q z q 4 i i D p I x A n o 7 y 1 t r 2 k Q b b 1 u g I I S 2 4 F Z n K v n n 2 B I N P Z O D K Y F z I G u O B u V L Z R x N 3 V 8 A 1 7 M 9 A O n A 1 l o h R 6 e 4 N M F p O f 9 T C I p r t N H o X 4 X T h f j 6 P 7 X f M J V U H c C B Q k x I O H i P G e v 7 5 5 W h L V L v 8 y f t v U C v a N 4 O Z T A o r b T V Q p C Z F J a I 6 J R u Y E 4 k R 7 y t M 6 J J j R i q H U X E 8 0 0 r E I 8 o I m 9 G 2 N 4 4 C I h e k e P O S S I B L E l y l V W g e t u G k I M b E t N U P U z v s
resource_vectron_03	Шифрування 5-3 7.3.14.5
resource_vectron_desc_03	Q n u 2 R K B F B 2 Z 5 c M q O 1 m F p W 0 a G V k W m a S u R 5 v 1 x M 3 w P z J w q I K e D J z j 7 U g 8 D s t 9 z y P W c v G O A L 7 C y X r V s b Q q U O 1 F b s v Z q 7 q c Y M f 4 M R i 2 3 b 9 e 7 V 0 y h A B 0 I N I T I A T E D . N 6 y b 9 K p m r e b B a R u E x R r z A 1 e w h 2 8 W T 1 K a q O j D 0 L G Y w c q 7 o 6 p S x q f j V 4 q u L z A R b g w D a e w n M Q J q R 7 O C h j E G S c N j x p y w h E 3 b z r h Q x y k 7 E a R c b 2 k n Q j Y B S t k j m m O N 3 w H 5 s j q I y N 1 T L n 4 W H H p b r j c u H 3 y 8 w A o e I 8 g x J T n i g e a H L 3 x 2 Z E R O . e 0 8 b V x h T o o P i D q 8 D i X V C o 7 g C 6 L S 2 V u U b U S A G E 1 c N c I c y V q A e
resource_vectron_04	Шифрування 5-4 12.18.2.1
resource_vectron_desc_04	V s c K N q 3 u J W z E g S V 5 y l u f M m y O 7 6 a w x P Y 4 s 8 i r G R E A T E R 6 M O O N j 6 z b M H r a c f w r O Q e a Z 0 C K W m 2 8 6 0 i D D C N 6 2 m 5 v C 2 h X L U q Y N 5 E K V 5 Z J 8 X a I A 5 R z m T V H u V q X 9 k B O O T m k I p G 9 9 Y L Z c 1 G c 9 p R S V C 2 m o A a O l L U 5 x N B o Q J A q t 5 Q 0 P h 0 7 3 M S m L 9 1 x Y D N n h a R p B P P H g S v p G f 0 v G T O n F Y r i v 3 t b W b j t f U Y K n w D 4 K 5 P 8 4 5 Q L e 5 2 S L 9 j D W 0 s Q f A E G p E r G L 2 f Q V a K 6 9 1 f X 9 V l M S 7 E t v o 0 z 0 4 y 4 h V I g j b L C E r p P Z P A u c 9 s h 7 3 H P k V 0 b x S u M F X 2 7 k D a h S 4 z R i S A F E b 2 M . 8 a A U e O Z t y O 2 J X 8 M 9 S 9 n J 5 U r r M f O G
resource_vectron_05	Шифрування 5-5 6.19.11.13
resource_vectron_desc_05	m x k 3 Y A m D E T E C T E D . y x 1 4 Z 6 n i 7 f o L N b Y 2 u A m j i Y W K Y Y F R W O U 9 I c u 1 A a m T E 8 X L a P f x 2 Z 0 N U N f U i f S T A T I O N . s a S g 6 4 x 6 l 4 a I l X u j o K 6 J D Y 9 w E o M T A Z H o g z m J T P M u q f I B C I e G x K 2 y v Z b S W D N U U X v 8 O J E l N q T H y O h U L s h W 4 U V o F A q j C F t E 4 9 O U T C O M E : i l e F C c 4 o c A h f 1 i t T 8 B e 1 V 9 h l W w 0 U 5 q p F R o L X a T o Q j r n P X Q c 9 B J H j Y p P q 5 j 6 F m J T e 1 W H Z t e I X G X 0 N F p R q a a 5 C b g 1 D p 2 o X j k A 9 F 0 l z T V K v V T 7 J p C w 5 P n f u w J c f h y M o 8 8 F e J t e 6 K 7 M 9 U r I Z i i D y L q R e c T H A N m 6 o s 5 t O y 0 k I l a S s U L

# ----- Upgrades ----
upgrade_lamp	Лiхтар
upgrade_broken_lamp	Розбитий лiхтар
upgrade_broken_lamp_desc	"""Розбився пiд час падiння. Потрiбно термiново полагодити або замiнити."""
upgrade_broken_lamp_next_level_desc	Щоб потрапити в шахту, потрiбно полагодити лiхтар.
upgrade_lamp_desc	Освiтлюэ все навколо. Витрачаэ пальне. Запаси можна поповнити в мiстi.
upgrade_lamp_next_level_desc	Якщо полiпшити лiхтар, можна знизити витрату пального.
upgrade_lamp_01	Поганенький лiхтар
upgrade_lamp_01_desc	"""Не зламаний, але цим справа i обмежуэться."""
upgrade_lamp_02	Шахтарський пальник
upgrade_lamp_02_desc	"""Свiтить довше, споживаэ менше."""
upgrade_lamp_03	Карбiдна лампа
upgrade_lamp_03_desc	"""Стабiльнiше горить, менше витрачаэ пальне."""
upgrade_lamp_04	Полярна зiрка
upgrade_lamp_04_desc	"""Гори, гори, моя зiрка!"""
upgrade_lamp_05	Свiтильник
upgrade_lamp_05_desc	"""У темрявi нiчний, при свiтлi дня рудi не сховатися вiд мене!"""
upgrade_lamp_06	Маяк
upgrade_lamp_06_desc	"""Пiдсилений розплавленим свинцем. Довговiчнiше звичайного."""
upgrade_lamp_07	Сонячне коло
upgrade_lamp_07_desc	"""Хай живе сонце, та зникне тьма! Радiус освiтлення збiльшений."""

upgrade_lamp_increased_area_01	Свiтлiше сонця
upgrade_lamp_increased_area_01_desc	Розширюэ радiус освiтлення.
upgrade_lamp_increased_area_01_flavor	"""Усiм вийти iз тiнi!"""
upgrade_lamp_light_pickup_01	Заклик
upgrade_lamp_light_pickup_01_desc	Шанс додаткових свiтлових сфер вiд переможених ворогiв.
upgrade_lamp_light_pickup_01_flavor	"""Випусти ïхнэ внутрiшнэ сонце!"""
upgrade_lamp_infinite_light_01	Чистий розум
upgrade_lamp_infinite_light_01_desc	Не даэ свiтлу падати нижче 50%%.
upgrade_lamp_infinite_light_01_flavor	"""Тiнi зникають... зараз."""
upgrade_lamp_damaging_light_01	Полум'я пекла
upgrade_lamp_damaging_light_01_desc	Завдаэ шкоди ворогам у радiусi освiтлення.
upgrade_lamp_damaging_light_01_flavor	"""Гори!"""
upgrade_lamp_lit_pickups_01	Полум'я Кубери
upgrade_lamp_lit_pickups_01_desc	Знахiдки сяють, щоб ïх легше було виявити.
upgrade_lamp_lit_pickups_01_flavor	"""Краще щось освiтлювати, нiж сяяти даремно."""
upgrade_lamp_lightning_reflexes	Рефлекс Гордона
upgrade_lamp_lightning_reflexes_desc	Збiльшуэ шанс автоматично ухилятися вiд падаючих каменiв i подiбних смертельних пасток.
upgrade_lamp_lightning_reflexes_flavor	"""Рятуйся з вогником!"""
upgrade_lamp_eye_for_weakness	Зрима крихкiсть
upgrade_lamp_eye_for_weakness_desc	"Посвiтивши на стiну, ви побачите тендiтнi дiлянки. Так i скажiть стiнi: ""Я тебе наскрiзь бачу"","
upgrade_lamp_eye_for_weakness_flavor	"""Люди будують занадто багато стiн i занадто мало мостiв."""

upgrade_pickaxe	Кирка
upgrade_pickaxe_desc	Основний iнструмент Доротi.
upgrade_pickaxe_next_level_desc	Покращiть кирку, щоб пiдвищити ïï ефективнiсть.
upgrade_pickaxe_01	Iржава кирка
upgrade_pickaxe_01_desc	"""Намахалась на своэму вiцi - це вже точно."""
upgrade_pickaxe_02	Залiзна кирка
upgrade_pickaxe_02_desc	"""Базовий iнструмент шахтаря."""
upgrade_pickaxe_03	Ухватиста кирка Бардура
upgrade_pickaxe_03_desc	"""Скромний, але мiцний товариш."""
upgrade_pickaxe_04	Кирка Кiрка
upgrade_pickaxe_04_desc	"""Космiчна капiтанська кирка. Вiрно, мiстере Спок?"""
upgrade_pickaxe_05	Кирка зi сплаву
upgrade_pickaxe_05_desc	"""Вуглецева сталь забезпечуэ iдеальний баланс."""
upgrade_pickaxe_06	Вольфрамова кирка
upgrade_pickaxe_06_desc	"""Iдеальна щiльнiсть та мiцнiсть для iдеального копання."""
upgrade_pickaxe_07	Кирка полярника
upgrade_pickaxe_07_desc	"""Мiцнiсть та ефективнiсть пiдвищенi. Те, що потрiбно для Крайньоï Пiвночi!"""
upgrade_pickaxe_08	Зразкова кирка
upgrade_pickaxe_08_desc	"""Iдеальна вага. Вiдчуття, що вона сама копаэ."""

upgrade_pickaxe_enemy_damage_01	Загострений край
upgrade_pickaxe_enemy_damage_01_desc	Додаткова шкода ворогам.
upgrade_pickaxe_enemy_damage_01_flavor	"""Рiжу - не можу!"""
upgrade_pickaxe_speed_01	Експрес-кирка
upgrade_pickaxe_speed_01_desc	Покращена аеродинамiка прискорюэ роботу.
upgrade_pickaxe_speed_01_flavor	"""Засверби, плече! Розмахнись, рука!"""
upgrade_pickaxe_resource_damage_01	Ресурсобiй
upgrade_pickaxe_resource_damage_01_desc	Додаткова шкода плиткам з ресурсами.
upgrade_pickaxe_resource_damage_01_flavor	"""Прийшов. Побачив. Нарубав."""
upgrade_pickaxe_knockback_01	Вiдпад i ульот
upgrade_pickaxe_knockback_01_desc	Вiдкидаэ ворогiв.
upgrade_pickaxe_knockback_01_flavor	"""Аста ла вiста, бейбi."""
upgrade_pickaxe_deflect_projectiles_01	Повернуто вiдправнику
upgrade_pickaxe_deflect_projectiles_01_desc	Перехоплюэ снаряди в повiтрi та змiнюэ ïхнiй напрямок.
upgrade_pickaxe_deflect_projectiles_01_flavor	"""Вам повертаючи ваш снаряд..."""
upgrade_pickaxe_fire	Полум'яна сокира
upgrade_pickaxe_fire_desc	Покращуэ шкоду та далекобiйнiсть кирки, дозволяэ завдавати бiльше шкоди. Можна використовувати i по-iншому...
upgrade_pickaxe_fire_flavor	"""Запалюй!"""
upgrade_pickaxe_bonus_xp	Пiк мисливця
upgrade_pickaxe_bonus_xp_desc	За кожного поваленого киркою ворога ви отримаэте +5 додаткового досвiду.
upgrade_pickaxe_bonus_xp_flavor	"""Якщо мисливець повернувся з грибами, краще не питай, як вiн пополював."""
upgrade_pickaxe_bounty	У пошуках наживи
upgrade_pickaxe_bounty_desc	За кожного вбитого киркою ворога ви отримаэте грошi.
upgrade_pickaxe_bounty_flavor	"""Однi полюють заради наживи, а iншi - заради самого полювання."""
upgrade_pickaxe_health_pickup	Цiлитель
upgrade_pickaxe_health_pickup_desc	Шанс отримати додатковi сфери здоров'я вiд ворогiв, убитих киркою.
upgrade_pickaxe_health_pickup_flavor	"""Приходь до мене лiкуватися, якщо вилетiла спиця..."""

upgrade_backpack	Рюкзак
upgrade_backpack_desc	Там лежать зiбранi каменi та руда.
upgrade_backpack_next_level_desc	Кожне полiпшення додаэ по комiрцi для самоцвiтiв i руди.
upgrade_backpack_01	Шахтарський рюкзак
upgrade_backpack_01_desc	"""Невеликий, але туди помiщаэться чимало руди та самоцвiтiв."""
upgrade_backpack_02	Мiшок з кротовоï шкури
upgrade_backpack_02_desc	"""Лише для справжнiх приборкувачiв."""
upgrade_backpack_03	Бездонний мiшок
upgrade_backpack_03_desc	"""Так i э. Чесно."""
upgrade_backpack_04	Троянський мiшок
upgrade_backpack_04_desc	"""Та в нього коня помiстити можна."""
upgrade_backpack_05	Сумка. Зроблено з розумом!
upgrade_backpack_05_desc	"""Мiсця вистачить на все!"""
upgrade_backpack_06	Переноска для гремлiна
upgrade_backpack_06_desc	"""Не годуйте пiсля пiвночi!"""
upgrade_backpack_07	Ельфiйська торба
upgrade_backpack_07_desc	"""Орач хороший в полi, видра - у водi, а для ходьби по травi, листю та снiгу потрiбна сумка!"""
upgrade_backpack_08	Одна на все - i все в одну!
upgrade_backpack_08_desc	"""Жарт, повторений двiчi, стаэ зрозумiлiшим. Але сумка-то хороша. Чесне слово."""
upgrade_backpack_09	Мамонтова сумка
upgrade_backpack_09_desc	"""Велика i волохата."""
upgrade_backpack_10	Сума сумоïста
upgrade_backpack_10_desc	"""Послухай схiдну мудрiсть. Наповни цю суму радiстю життя! Великим людям - великi сумки."""

upgrade_backpack_magnetic_pull_01	Магнiт-сепаратор
upgrade_backpack_magnetic_pull_01_desc	Притягуэ до вас вiдкритi ресурси.
upgrade_backpack_magnetic_pull_01_flavor	"""Акцiо все - i побiльше!"""
upgrade_backpack_extra_ore_01	Карман Фрейра
upgrade_backpack_extra_ore_01_desc	По додатковому шматку руди в кожну комiрку.
upgrade_backpack_extra_ore_01_flavor	"""Прозаïчно, поетично, чарiвно."""
upgrade_backpack_extra_gem_01	Подвiйна порцiя
upgrade_backpack_extra_gem_01_desc	Можна класти два каменi в комiрку.
upgrade_backpack_extra_gem_01_flavor	"""Малий гаманець, та дорогий."""
upgrade_backpack_discard_give_money_01	Грошi назад
upgrade_backpack_discard_give_money_01_desc	Викидаючи ресурс, ви отримуэте його вартiсть в монетах.
upgrade_backpack_discard_give_money_01_flavor	"""Вивiз металобрухту. Дорого."""
upgrade_backpack_discard_give_health	Друге дихання
upgrade_backpack_discard_give_health_desc	Викинувши ресурс, ви вiдновлюэте трохи здоров'я. За камiнь вiдновлюэться бiльше здоров'я, нiж за руду.
upgrade_backpack_discard_give_health_flavor	"""Позбудься зайвого, йди без нiчого."""
upgrade_backpack_lower_death_penalty_01	Смерть зi знижкою
